Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"RSS Test 1","Here is a video test post","Adafruit Daily","Jul 06, 2015 04:00 pm",Monday,3,3,0,0,0,0,0,3,100.00%,4,0,0.00%,0,0,0,0,0,f3f76dc1a0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"RSS Test 1","Here is another video test post","Adafruit Daily","Jul 13, 2015 08:00 pm",Monday,3,3,0,0,0,0,0,3,100.00%,7,0,0.00%,0,0,0,0,0,b7ca032d76,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"RSS Test 1","A Final Test Post","Adafruit Daily","Jul 14, 2015 12:00 pm",Tuesday,3,3,0,0,0,0,0,3,100.00%,4,0,0.00%,0,0,0,0,0,60f725e07d,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Test Post","Adafruit Daily","Jul 21, 2015 03:00 am",Tuesday,3,3,0,0,0,0,0,3,100.00%,3,0,0.00%,0,0,0,0,0,1cd67deec5,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Alibaba Profit Misses Expectations; $4 Billion Stock Buyback Is Planned #makerbusiness @alibabatalk","Adafruit Daily","Aug 13, 2015 03:00 am",Thursday,7,7,0,0,0,0,0,7,100.00%,39,0,0.00%,0,0,0,0,0,bda93de6ad,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Alibaba Profit Misses Expectations; $4 Billion Stock Buyback Is Planned #makerbusiness @alibabatalk","Adafruit Daily","Aug 14, 2015 03:00 am",Friday,7,7,0,0,0,0,0,4,57.14%,5,0,0.00%,0,0,0,0,0,aa570174ce,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","This is a test post for Maker Business","Adafruit Daily","Aug 18, 2015 03:00 am",Tuesday,9,9,0,0,0,0,0,8,88.89%,14,0,0.00%,0,0,0,0,0,e3f69e22c7,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"This is a test post for Wearables","Adafruit Daily","Aug 18, 2015 03:01 am",Tuesday,9,9,0,0,0,0,0,8,88.89%,19,0,0.00%,0,0,0,0,0,d975c948d2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Protect yourself from a shorted battery!","Adafruit Daily","Aug 21, 2015 11:01 am",Friday,9,9,0,0,0,0,0,8,88.89%,21,2,22.22%,2,3,0,0,0,a327f547cd,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Help your GPS module get its fix","Adafruit Daily","Aug 22, 2015 11:00 am",Saturday,9,9,0,0,0,0,0,4,44.44%,12,0,0.00%,0,0,0,0,0,c7f57863f4,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Getting overly ambitious with EL wire","Adafruit Daily","Aug 23, 2015 11:00 am",Sunday,9,9,0,0,0,0,0,6,66.67%,6,0,0.00%,0,0,0,0,0,df9e78b8d7,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"More manicure tools for rugged circuits","Adafruit Daily","Aug 24, 2015 11:00 am",Monday,9,9,0,0,0,0,0,9,100.00%,28,0,0.00%,0,0,0,0,0,d2d4893e79,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","“50 Companies That May Be the Next Start-Up Unicorns” – 2 are hardware @RethinkRobotics @3drobotics #makerbusiness","Adafruit Daily","Aug 26, 2015 11:00 am",Wednesday,44,44,0,0,0,0,0,30,68.18%,40,4,9.09%,7,0,0,0,0,a9a73610ea,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"FLORA vs. GEMMA: we can help you decide","Adafruit Daily","Aug 26, 2015 11:01 am",Wednesday,43,43,0,0,0,0,0,31,72.09%,35,1,2.33%,1,0,0,0,0,4246e7284c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","littleBits in high end retail + “Stores Suffer From a Shift of Behavior in Buyers” #makerbusiness","Adafruit Daily","Aug 27, 2015 11:00 am",Thursday,50,50,0,0,0,0,0,32,64.00%,71,1,2.00%,1,0,0,0,0,88dde800f8,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Ask not why it’s called a piezo, but ask what a piezo can do for you","Adafruit Daily","Aug 27, 2015 11:00 am",Thursday,48,48,0,0,0,0,0,31,64.58%,36,3,6.25%,4,0,0,0,0,a776bc6dcd,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Drone makers getting a ton of funding #makerbusiness","Adafruit Daily","Aug 28, 2015 11:01 am",Friday,49,49,0,0,0,0,0,27,55.10%,147,3,6.12%,6,0,0,0,0,44acd301f6,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"A clean project is a happy project","Adafruit Daily","Aug 29, 2015 11:00 am",Saturday,48,48,0,0,0,0,0,29,60.42%,43,0,0.00%,0,0,0,0,0,96fcb7645a,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Let there be light-activated circuits","Adafruit Daily","Aug 31, 2015 11:00 am",Monday,48,48,0,0,0,0,0,26,54.17%,28,1,2.08%,1,0,0,0,0,2cc7e996ce,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","How one small business makes electrical engineering easy","Adafruit Daily","Aug 31, 2015 11:00 am",Monday,49,49,0,0,0,0,0,27,55.10%,31,4,8.16%,4,0,0,0,0,fe9b28a72c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","You Can’t Outsource Knowledge","Adafruit Daily","Sep 01, 2015 11:00 am",Tuesday,49,49,0,0,0,0,0,29,59.18%,35,5,10.20%,5,0,0,0,0,0bc96e581f,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"You down with i2c? Yeah, you know me!","Adafruit Daily","Sep 01, 2015 11:01 am",Tuesday,48,48,0,0,0,0,0,31,64.58%,39,5,10.42%,6,0,0,0,0,d233085936,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Keep frays at bay with this helpful hack","Adafruit Daily","Sep 02, 2015 11:01 am",Wednesday,74,74,0,0,0,0,0,49,66.22%,58,3,4.05%,4,0,0,0,0,03cae1b048,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","The Wharton Crowdfunding Study #makerbusiness","Adafruit Daily","Sep 02, 2015 11:01 am",Wednesday,76,76,0,0,0,0,0,45,59.21%,52,6,7.89%,7,0,0,0,0,18540a7322,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","How many Apple watches did Apple ship? #makerbusiness and a new wearable from ASUS","Adafruit Daily","Sep 03, 2015 11:01 am",Thursday,185,185,0,0,0,0,0,136,73.51%,171,14,7.57%,16,0,0,0,0,6aa687c6e1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Air Dry > Machine Dry","Adafruit Daily","Sep 03, 2015 11:01 am",Thursday,196,196,0,0,0,0,0,146,74.49%,205,6,3.06%,6,1,0,0,0,a131936faa,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Here’s how to charge your project wirelessly!","Adafruit Daily","Sep 04, 2015 11:00 am",Friday,225,224,1,0,1,0,0,159,70.98%,281,25,11.16%,26,2,0,0,0,dd4998c806,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","ThinkGeek is opening a retail store","Adafruit Daily","Sep 04, 2015 11:01 am",Friday,217,216,1,0,1,0,0,155,71.76%,198,7,3.24%,7,1,0,0,0,b0cdc3ed07,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","The characteristics of a billion dollar consumer hardware startup","Adafruit Daily","Sep 07, 2015 11:00 am",Monday,236,234,2,0,2,0,0,158,67.52%,198,19,8.12%,22,0,0,0,0,71189e137e,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Keep track of your teeny-tiny components with this everyday object","Adafruit Daily","Sep 07, 2015 11:00 am",Monday,249,247,2,0,2,0,0,180,72.87%,240,32,12.96%,35,0,0,0,0,e2e5311ace,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","4 billion-dollar opportunities for hardware as a service #makerbusiness","Adafruit Daily","Sep 08, 2015 11:00 am",Tuesday,239,237,2,0,2,0,0,165,69.62%,217,27,11.39%,35,1,0,0,0,ca7817df37,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Here’s how NOT to damage your inverter","Adafruit Daily","Sep 08, 2015 11:00 am",Tuesday,251,249,1,1,2,0,0,181,72.69%,241,27,10.84%,29,0,0,0,0,0e7be7dce2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","NYTimes says “The Internet of Way Too Many Things” – who wants to hear actors talk?","Adafruit Daily","Sep 09, 2015 11:00 am",Wednesday,243,242,1,0,1,0,0,161,66.53%,231,10,4.13%,11,0,0,0,0,bd35b0a078,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"You bet your bootloader you’ll want to check this out","Adafruit Daily","Sep 09, 2015 11:01 am",Wednesday,264,263,0,1,1,0,0,177,67.30%,256,16,6.08%,17,1,0,0,0,36a35abd8c,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Need a battery holder that’s soft to the touch? Make your own!","Adafruit Daily","Sep 10, 2015 11:00 am",Thursday,293,293,0,0,0,0,0,187,63.82%,288,35,11.95%,38,0,0,0,0,460724c4e9,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Will your hardware startup make money?","Adafruit Daily","Sep 10, 2015 11:01 am",Thursday,270,270,0,0,0,0,0,168,62.22%,245,55,20.37%,57,0,0,0,0,38d484aa7a,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Punk Rock ethics are good business","Adafruit Daily","Sep 11, 2015 11:00 am",Friday,287,287,0,0,0,0,0,172,59.93%,223,11,3.83%,11,1,0,0,0,f5d9be0b71,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"This sensor is the key to color detection","Adafruit Daily","Sep 11, 2015 11:01 am",Friday,309,309,0,0,0,0,0,196,63.43%,319,22,7.12%,24,0,0,0,0,3eb898e1ce,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Adafruit’s Limor Fried Ushers In A Cool New Age for Hobby Electronics","Adafruit Daily","Sep 14, 2015 11:01 am",Monday,300,300,0,0,0,0,0,201,67.00%,294,36,12.00%,40,0,0,0,0,a0b6cd80b0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Seal the dEaL with this project tip","Adafruit Daily","Sep 14, 2015 11:01 am",Monday,328,328,0,0,0,0,0,219,66.77%,306,24,7.32%,25,0,0,0,0,ce6729925e,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","Etsy is set to introduce Etsy Manufacturing","Adafruit Daily","Sep 15, 2015 11:01 am",Tuesday,306,306,0,0,0,0,0,191,62.42%,262,14,4.58%,16,0,0,0,0,9de47da501,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"This 80s fave makes for a fab switch","Adafruit Daily","Sep 16, 2015 11:01 am",Wednesday,341,340,1,0,1,0,0,226,66.47%,315,10,2.94%,11,0,0,0,0,4377b0034d,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wearables,"Here’s the scoop on wiring your hoops","Adafruit Daily","Sep 17, 2015 11:00 am",Thursday,343,342,1,0,1,0,0,217,63.45%,301,15,4.39%,15,1,0,0,0,2fbc1febc5,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Maker Business","What did Billion Dollar Companies Look Like at the Series A?","Adafruit Daily","Sep 17, 2015 11:00 am",Thursday,310,310,0,0,0,0,0,189,60.97%,284,21,6.77%,22,2,0,0,0,e0a4e5ab20,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
